id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG006001,Brass,Brass,brass-ng006001,NG006001,10,4.417,6.106
NG006002,Ekeremor,Ekeremor,ekeremor-ng006002,NG006002,12,4.941,5.715
NG006003,Kolokuma/Opokuma,Kolokuma/Opokuma,kolokumaopokuma-ng006003,NG006003,11,5.068,6.241
NG006004,Nembe,Nembe,nembe-ng006004,NG006004,13,4.544,6.381
NG006005,Ogbia,Ogbia,ogbia-ng006005,NG006005,13,4.796,6.314
NG006006,Sagbama,Sagbama,sagbama-ng006006,NG006006,14,5.096,6.124
NG006007,Southern Ijaw,Southern Ijaw,southern-ijaw-ng006007,NG006007,17,4.716,5.881
NG006008,Yenegoa,Yenegoa,yenegoa-ng006008,NG006008,15,5.065,6.372
