id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG032001,Barikin Ladi,Barikin Ladi,barikin-ladi-ng032001,NG032001,11,9.574,8.971
NG032002,Bassa,Bassa,bassa-ng032002,NG032002,26,10.064,8.809
NG032003,Bokkos,Bokkos,bokkos-ng032003,NG032003,14,9.23,8.89
NG032004,Jos East,Jos East,jos-east-ng032004,NG032004,10,9.876,9.129
NG032005,Jos North,Jos North,jos-north-ng032005,NG032005,14,9.944,8.895
NG032006,Jos South,Jos South,jos-south-ng032006,NG032006,12,9.761,8.846
NG032007,Kanam,Kanam,kanam-ng032007,NG032007,14,9.491,10.155
NG032008,Kanke,Kanke,kanke-ng032008,NG032008,10,9.363,9.655
NG032009,Langtang North,Langtang North,langtang-north-ng032009,NG032009,14,9.049,9.827
NG032010,Langtang South,Langtang South,langtang-south-ng032010,NG032010,10,8.626,9.824
NG032011,Mangu,Mangu,mangu-ng032011,NG032011,16,9.362,9.185
NG032012,Mikang,Mikang,mikang-ng032012,NG032012,10,9.012,9.576
NG032013,Pankshin,Pankshin,pankshin-ng032013,NG032013,12,9.325,9.388
NG032014,Qua'an Pan,Qua'an Pan,quaan-pan-ng032014,NG032014,11,8.778,9.129
NG032015,Riyom,Riyom,riyom-ng032015,NG032015,10,9.556,8.705
NG032016,Shendam,Shendam,shendam-ng032016,NG032016,11,8.748,9.523
NG032017,Wase,Wase,wase-ng032017,NG032017,12,9.004,10.244
