id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG017001,Aboh-Mbaise,Aboh-Mbaise,aboh-mbaise-ng017001,NG017001,12,5.419,7.259
NG017002,Ahiazu-Mbaise,Ahiazu-Mbaise,ahiazu-mbaise-ng017002,NG017002,12,5.563,7.264
NG017003,Ehime-Mbano,Ehime-Mbano,ehime-mbano-ng017003,NG017003,11,5.688,7.296
NG017004,Ezinihitte,Ezinihitte,ezinihitte-ng017004,NG017004,12,5.473,7.322
NG017005,Ideato North,Ideato North,ideato-north-ng017005,NG017005,14,5.869,7.206
NG017006,Ideato South,Ideato South,ideato-south-ng017006,NG017006,13,5.816,7.123
NG017007,Ihitte/Uboma,Ihitte/Uboma,ihitteuboma-ng017007,NG017007,10,5.647,7.382
NG017008,Ikeduru,Ikeduru,ikeduru-ng017008,NG017008,12,5.563,7.151
NG017009,Isiala Mbano,Isiala Mbano,isiala-mbano-ng017009,NG017009,12,5.681,7.197
NG017010,Isu,Isu,isu-ng017010,NG017010,11,5.688,7.053
NG017011,Mbaitoli,Mbaitoli,mbaitoli-ng017011,NG017011,12,5.598,7.016
NG017012,Ngor-Okpala,Ngor-Okpala,ngor-okpala-ng017012,NG017012,11,5.327,7.158
NG017013,Njaba,Njaba,njaba-ng017013,NG017013,11,5.701,7.001
NG017014,Nkwerre,Nkwerre,nkwerre-ng017014,NG017014,10,5.75,7.1
NG017015,Nwangele,Nwangele,nwangele-ng017015,NG017015,11,5.709,7.12
NG017016,Obowo,Obowo,obowo-ng017016,NG017016,10,5.56,7.361
NG017017,Oguta,Oguta,oguta-ng017017,NG017017,11,5.655,6.781
NG017018,Ohaji/Egbema,Ohaji/Egbema,ohajiegbema-ng017018,NG017018,12,5.426,6.848
NG017019,Okigwe,Okigwe,okigwe-ng017019,NG017019,11,5.821,7.321
NG017020,Orlu,Orlu,orlu-ng017020,NG017020,13,5.819,7.034
NG017021,Orsu,Orsu,orsu-ng017021,NG017021,11,5.846,6.967
NG017022,Oru East,Oru East,oru-east-ng017022,NG017022,10,5.729,6.947
NG017023,Oru West,Oru West,oru-west-ng017023,NG017023,10,5.759,6.906
NG017024,Owerri North,Owerri North,owerri-north-ng017024,NG017024,12,5.432,7.108
NG017025,Owerri West,Owerri West,owerri-west-ng017025,NG017025,10,5.407,6.985
NG017026,Owerri-Municipal,Owerri-Municipal,owerri-municipal-ng017026,NG017026,11,5.48,7.022
NG017027,Unuimo,Unuimo,unuimo-ng017027,NG017027,10,5.797,7.225
