id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG004001,Aguata,Aguata,aguata-ng004001,NG004001,20,5.983,7.093
NG004002,Anambra East,Anambra East,anambra-east-ng004002,NG004002,15,6.313,6.9
NG004003,Anambra West,Anambra West,anambra-west-ng004003,NG004003,10,6.493,6.777
NG004004,Anaocha,Anaocha,anaocha-ng004004,NG004004,19,6.091,7.026
NG004005,Awka North,Awka North,awka-north-ng004005,NG004005,14,6.34,7.06
NG004006,Awka South,Awka South,awka-south-ng004006,NG004006,20,6.193,7.093
NG004007,Ayamelum,Ayamelum,ayamelum-ng004007,NG004007,11,6.535,6.975
NG004008,Dunukofia,Dunukofia,dunukofia-ng004008,NG004008,14,6.279,6.98
NG004009,Ekwusigo,Ekwusigo,ekwusigo-ng004009,NG004009,12,5.994,6.839
NG004010,Idemili North,Idemili North,idemili-north-ng004010,NG004010,12,6.137,6.893
NG004011,Idemili South,Idemili South,idemili-south-ng004011,NG004011,12,6.061,6.829
NG004012,Ihiala,Ihiala,ihiala-ng004012,NG004012,20,5.845,6.858
NG004013,Njikoka,Njikoka,njikoka-ng004013,NG004013,18,6.19,7.008
NG004014,Nnewi North,Nnewi North,nnewi-north-ng004014,NG004014,10,6.019,6.915
NG004015,Nnewi South,Nnewi South,nnewi-south-ng004015,NG004015,20,5.958,6.977
NG004016,Ogbaru,Ogbaru,ogbaru-ng004016,NG004016,16,5.912,6.751
NG004017,Onitsha North,Onitsha North,onitsha-north-ng004017,NG004017,15,6.164,6.797
NG004018,Onitsha South,Onitsha South,onitsha-south-ng004018,NG004018,17,6.14,6.773
NG004019,Orumba North,Orumba North,orumba-north-ng004019,NG004019,18,6.115,7.16
NG004020,Orumba South,Orumba South,orumba-south-ng004020,NG004020,18,5.99,7.205
NG004021,Oyi,Oyi,oyi-ng004021,NG004021,15,6.227,6.9
