id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG018001,Auyo,Auyo,auyo-ng018001,NG018001,10,12.338,9.919
NG018002,Babura,Babura,babura-ng018002,NG018002,11,12.613,8.838
NG018003,Biriniwa,Biriniwa,biriniwa-ng018003,NG018003,11,12.825,10.092
NG018004,Birni Kudu,Birni Kudu,birni-kudu-ng018004,NG018004,11,11.49,9.462
NG018005,Buji,Buji,buji-ng018005,NG018005,10,11.548,9.715
NG018006,Dutse,Dutse,dutse-ng018006,NG018006,11,11.805,9.258
NG018007,Gagarawa,Gagarawa,gagarawa-ng018007,NG018007,10,12.493,9.527
NG018008,Garki,Garki,garki-ng018008,NG018008,11,12.409,9.108
NG018009,Gumel,Gumel,gumel-ng018009,NG018009,11,12.632,9.399
NG018010,Guri,Guri,guri-ng018010,NG018010,10,12.645,10.481
NG018011,Gwaram,Gwaram,gwaram-ng018011,NG018011,11,11.209,10.071
NG018012,Gwiwa,Gwiwa,gwiwa-ng018012,NG018012,11,12.744,8.282
NG018013,Hadejia,Hadejia,hadejia-ng018013,NG018013,11,12.474,10.048
NG018014,Jahun,Jahun,jahun-ng018014,NG018014,11,12.065,9.561
NG018015,Kafin Hausa,Kafin Hausa,kafin-hausa-ng018015,NG018015,11,12.169,9.978
NG018016,Kaugama,Kaugama,kaugama-ng018016,NG018016,11,12.559,9.767
NG018017,Kazaure,Kazaure,kazaure-ng018017,NG018017,11,12.661,8.451
NG018018,Kiri Kasamma,Kiri Kasamma,kiri-kasamma-ng018018,NG018018,10,12.6,10.258
NG018019,Kiyawa,Kiyawa,kiyawa-ng018019,NG018019,11,11.812,9.525
NG018020,Maigatari,Maigatari,maigatari-ng018020,NG018020,11,12.686,9.617
NG018021,Malam Madori,Malam Madori,malam-madori-ng018021,NG018021,11,12.533,9.953
NG018022,Miga,Miga,miga-ng018022,NG018022,10,12.225,9.678
NG018023,Ringim,Ringim,ringim-ng018023,NG018023,10,12.17,9.148
NG018024,Roni,Roni,roni-ng018024,NG018024,11,12.572,8.382
NG018025,Sule-Tankarkar,Sule-Tankarkar,sule-tankarkar-ng018025,NG018025,10,12.634,9.175
NG018026,Taura,Taura,taura-ng018026,NG018026,10,12.279,9.353
NG018027,Yankwashi,Yankwashi,yankwashi-ng018027,NG018027,10,12.743,8.503
