# Data from Open Admin Data (https://openadmindata.org/ng/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/nigeria-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.state,children_count.lga,children_count.ward,zip_codes,geo.lat,geo.lon,source_url
NG001,1,State,State,Abia,Abia,abia-ng001,NG001,,,,,,17,184,,5.432,7.488,https://openadmindata.org/ng/states/abia-ng001/
NG001001,2,Local Government Area,Local Government Area,Aba North,Aba North,aba-north-ng001001,NG001001,,NG001,Abia,Abia,,,12,,5.108,7.342,
NG001002,2,Local Government Area,Local Government Area,Aba South,Aba South,aba-south-ng001002,NG001002,,NG001,Abia,Abia,,,12,,5.084,7.349,
NG001003,2,Local Government Area,Local Government Area,Arochukwu,Arochukwu,arochukwu-ng001003,NG001003,,NG001,Abia,Abia,,,11,,5.519,7.869,
NG001004,2,Local Government Area,Local Government Area,Bende,Bende,bende-ng001004,NG001004,,NG001,Abia,Abia,,,13,,5.637,7.569,
NG001005,2,Local Government Area,Local Government Area,Ikwuano,Ikwuano,ikwuano-ng001005,NG001005,,NG001,Abia,Abia,,,10,,5.409,7.573,
NG001006,2,Local Government Area,Local Government Area,Isiala-Ngwa North,Isiala-Ngwa North,isiala-ngwa-north-ng001006,NG001006,,NG001,Abia,Abia,,,10,,5.28,7.392,
NG001007,2,Local Government Area,Local Government Area,Isiala-Ngwa South,Isiala-Ngwa South,isiala-ngwa-south-ng001007,NG001007,,NG001,Abia,Abia,,,10,,5.38,7.415,
NG001008,2,Local Government Area,Local Government Area,Isiukwuato,Isiukwuato,isiukwuato-ng001008,NG001008,,NG001,Abia,Abia,,,10,,5.8,7.471,
NG001009,2,Local Government Area,Local Government Area,Obi Ngwa,Obi Ngwa,obi-ngwa-ng001009,NG001009,,NG001,Abia,Abia,,,11,,5.152,7.448,
NG001010,2,Local Government Area,Local Government Area,Ohafia,Ohafia,ohafia-ng001010,NG001010,,NG001,Abia,Abia,,,11,,5.663,7.832,
NG001011,2,Local Government Area,Local Government Area,Osisioma Ngwa,Osisioma Ngwa,osisioma-ngwa-ng001011,NG001011,,NG001,Abia,Abia,,,10,,5.173,7.324,
NG001012,2,Local Government Area,Local Government Area,Ugwunagbo,Ugwunagbo,ugwunagbo-ng001012,NG001012,,NG001,Abia,Abia,,,10,,5.025,7.355,
NG001013,2,Local Government Area,Local Government Area,Ukwa East,Ukwa East,ukwa-east-ng001013,NG001013,,NG001,Abia,Abia,,,10,,4.937,7.403,
NG001014,2,Local Government Area,Local Government Area,Ukwa West,Ukwa West,ukwa-west-ng001014,NG001014,,NG001,Abia,Abia,,,10,,4.979,7.251,
NG001015,2,Local Government Area,Local Government Area,Umuahia North,Umuahia North,umuahia-north-ng001015,NG001015,,NG001,Abia,Abia,,,12,,5.605,7.477,
NG001016,2,Local Government Area,Local Government Area,Umuahia South,Umuahia South,umuahia-south-ng001016,NG001016,,NG001,Abia,Abia,,,10,,5.499,7.436,
NG001017,2,Local Government Area,Local Government Area,Umu-Nneochi,Umu-Nneochi,umu-nneochi-ng001017,NG001017,,NG001,Abia,Abia,,,12,,5.972,7.405,
NG002,1,State,State,Adamawa,Adamawa,adamawa-ng002,NG002,,,,,,21,226,,9.163,12.292,https://openadmindata.org/ng/states/adamawa-ng002/
NG002001,2,Local Government Area,Local Government Area,Demsa,Demsa,demsa-ng002001,NG002001,,NG002,Adamawa,Adamawa,,,10,,9.421,12.062,
NG002002,2,Local Government Area,Local Government Area,Fufore,Fufore,fufore-ng002002,NG002002,,NG002,Adamawa,Adamawa,,,11,,9.247,12.755,
NG002003,2,Local Government Area,Local Government Area,Ganye,Ganye,ganye-ng002003,NG002003,,NG002,Adamawa,Adamawa,,,10,,8.438,11.955,
NG002004,2,Local Government Area,Local Government Area,Gombi,Gombi,gombi-ng002004,NG002004,,NG002,Adamawa,Adamawa,,,10,,10.219,12.514,
NG002005,2,Local Government Area,Local Government Area,Girei,Girei,girei-ng002005,NG002005,,NG002,Adamawa,Adamawa,,,10,,9.42,12.46,
NG002006,2,Local Government Area,Local Government Area,Guyuk,Guyuk,guyuk-ng002006,NG002006,,NG002,Adamawa,Adamawa,,,10,,9.849,11.919,
NG002007,2,Local Government Area,Local Government Area,Hong,Hong,hong-ng002007,NG002007,,NG002,Adamawa,Adamawa,,,12,,10.271,13,
NG002008,2,Local Government Area,Local Government Area,Jada,Jada,jada-ng002008,NG002008,,NG002,Adamawa,Adamawa,,,11,,8.7,12.327,
NG002009,2,Local Government Area,Local Government Area,Lamurde,Lamurde,lamurde-ng002009,NG002009,,NG002,Adamawa,Adamawa,,,10,,9.554,11.701,
NG002010,2,Local Government Area,Local Government Area,Madagali,Madagali,madagali-ng002010,NG002010,,NG002,Adamawa,Adamawa,,,10,,10.799,13.482,
NG002011,2,Local Government Area,Local Government Area,Maiha,Maiha,maiha-ng002011,NG002011,,NG002,Adamawa,Adamawa,,,10,,9.874,13.141,
NG002012,2,Local Government Area,Local Government Area,Mayo-Belwa,Mayo-Belwa,mayo-belwa-ng002012,NG002012,,NG002,Adamawa,Adamawa,,,12,,8.908,12.044,
NG002013,2,Local Government Area,Local Government Area,Michika,Michika,michika-ng002013,NG002013,,NG002,Adamawa,Adamawa,,,16,,10.579,13.384,
NG002014,2,Local Government Area,Local Government Area,Mubi North,Mubi North,mubi-north-ng002014,NG002014,,NG002,Adamawa,Adamawa,,,11,,10.359,13.366,
NG002015,2,Local Government Area,Local Government Area,Mubi South,Mubi South,mubi-south-ng002015,NG002015,,NG002,Adamawa,Adamawa,,,10,,10.171,13.312,
NG002016,2,Local Government Area,Local Government Area,Numan,Numan,numan-ng002016,NG002016,,NG002,Adamawa,Adamawa,,,10,,9.451,11.841,
NG002017,2,Local Government Area,Local Government Area,Shelleng,Shelleng,shelleng-ng002017,NG002017,,NG002,Adamawa,Adamawa,,,10,,9.903,12.106,
NG002018,2,Local Government Area,Local Government Area,Song,Song,song-ng002018,NG002018,,NG002,Adamawa,Adamawa,,,11,,9.841,12.621,
NG002019,2,Local Government Area,Local Government Area,Toungo,Toungo,toungo-ng002019,NG002019,,NG002,Adamawa,Adamawa,,,10,,7.902,11.874,
NG002020,2,Local Government Area,Local Government Area,Yola North,Yola North,yola-north-ng002020,NG002020,,NG002,Adamawa,Adamawa,,,11,,9.258,12.44,
NG002021,2,Local Government Area,Local Government Area,Yola South,Yola South,yola-south-ng002021,NG002021,,NG002,Adamawa,Adamawa,,,11,,9.272,12.261,
NG003,1,State,State,Akwa Ibom,Akwa Ibom,akwa-ibom-ng003,NG003,,,,,,31,329,,4.99,7.796,https://openadmindata.org/ng/states/akwa-ibom-ng003/
NG003001,2,Local Government Area,Local Government Area,Abak,Abak,abak-ng003001,NG003001,,NG003,Akwa Ibom,Akwa Ibom,,,11,,5.004,7.799,
NG003002,2,Local Government Area,Local Government Area,Eastern Obolo,Eastern Obolo,eastern-obolo-ng003002,NG003002,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.515,7.696,
NG003003,2,Local Government Area,Local Government Area,Eket,Eket,eket-ng003003,NG003003,,NG003,Akwa Ibom,Akwa Ibom,,,11,,4.636,7.957,
NG003004,2,Local Government Area,Local Government Area,Esit - Eket,Esit - Eket,esit-eket-ng003004,NG003004,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.642,8.075,
NG003005,2,Local Government Area,Local Government Area,Essien Udim,Essien Udim,essien-udim-ng003005,NG003005,,NG003,Akwa Ibom,Akwa Ibom,,,11,,5.101,7.657,
NG003006,2,Local Government Area,Local Government Area,Etim Ekpo,Etim Ekpo,etim-ekpo-ng003006,NG003006,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.953,7.571,
