id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG034001,Binji,Binji,binji-ng034001,NG034001,10,13.184,4.795
NG034002,Bodinga,Bodinga,bodinga-ng034002,NG034002,11,12.799,5.179
NG034003,Dange-Shuni,Dange-Shuni,dange-shuni-ng034003,NG034003,11,12.833,5.424
NG034004,Gada,Gada,gada-ng034004,NG034004,11,13.679,5.738
NG034006,Goronyo,Goronyo,goronyo-ng034006,NG034006,11,13.348,5.737
NG034007,Gudu,Gudu,gudu-ng034007,NG034007,10,13.459,4.446
NG034005,Gwadabawa,Gwadabawa,gwadabawa-ng034005,NG034005,11,13.408,5.338
NG034008,Illela,Illela,illela-ng034008,NG034008,11,13.683,5.305
NG034009,Isa,Isa,isa-ng034009,NG034009,10,13.205,6.357
NG034010,Kebbe,Kebbe,kebbe-ng034010,NG034010,10,11.914,4.754
NG034011,Kware,Kware,kware-ng034011,NG034011,11,13.156,5.288
NG034012,Rabah,Rabah,rabah-ng034012,NG034012,11,12.998,5.768
NG034013,Sabon Birni,Sabon Birni,sabon-birni-ng034013,NG034013,11,13.494,6.25
NG034014,Shagari,Shagari,shagari-ng034014,NG034014,10,12.533,5.067
NG034015,Silame,Silame,silame-ng034015,NG034015,10,12.986,4.799
NG034016,Sokoto North,Sokoto North,sokoto-north-ng034016,NG034016,11,13.076,5.229
NG034017,Sokoto South,Sokoto South,sokoto-south-ng034017,NG034017,11,13.038,5.258
NG034018,Tambuwal,Tambuwal,tambuwal-ng034018,NG034018,11,12.439,4.921
NG034019,Tangaza,Tangaza,tangaza-ng034019,NG034019,10,13.471,4.972
NG034020,Tureta,Tureta,tureta-ng034020,NG034020,10,12.483,5.512
NG034021,Wamako,Wamako,wamako-ng034021,NG034021,11,13.08,5.078
NG034022,Wurno,Wurno,wurno-ng034022,NG034022,11,13.237,5.471
NG034023,Yabo,Yabo,yabo-ng034023,NG034023,10,12.796,4.942
