id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG010001,Aniocha North,Aniocha North,aniocha-north-ng010001,NG010001,10,6.368,6.47
NG010002,Aniocha South,Aniocha South,aniocha-south-ng010002,NG010002,11,6.145,6.474
NG010003,Bomadi,Bomadi,bomadi-ng010003,NG010003,10,5.226,5.81
NG010004,Burutu,Burutu,burutu-ng010004,NG010004,11,5.234,5.571
NG010005,Ethiope East,Ethiope East,ethiope-east-ng010005,NG010005,11,5.667,5.972
NG010006,Ethiope West,Ethiope West,ethiope-west-ng010006,NG010006,11,5.911,5.776
NG010007,Ika North East,Ika North East,ika-north-east-ng010007,NG010007,14,6.237,6.321
NG010008,Ika South,Ika South,ika-south-ng010008,NG010008,12,6.187,6.134
NG010009,Isoko North,Isoko North,isoko-north-ng010009,NG010009,13,5.514,6.126
NG010010,Isoko South,Isoko South,isoko-south-ng010010,NG010010,11,5.397,6.214
NG010011,Ndokwa East,Ndokwa East,ndokwa-east-ng010011,NG010011,10,5.663,6.503
NG010012,Ndokwa West,Ndokwa West,ndokwa-west-ng010012,NG010012,10,5.826,6.416
NG010013,Okpe,Okpe,okpe-ng010013,NG010013,10,5.7,5.743
NG010014,Oshimili North,Oshimili North,oshimili-north-ng010014,NG010014,10,6.304,6.645
NG010015,Oshimili South,Oshimili South,oshimili-south-ng010015,NG010015,11,6.13,6.731
NG010016,Patani,Patani,patani-ng010016,NG010016,10,5.19,6.104
NG010017,Sapele,Sapele,sapele-ng010017,NG010017,11,5.836,5.659
NG010018,Udu,Udu,udu-ng010018,NG010018,10,5.477,5.812
NG010019,Ughelli North,Ughelli North,ughelli-north-ng010019,NG010019,11,5.487,6.011
NG010020,Ughelli South,Ughelli South,ughelli-south-ng010020,NG010020,11,5.36,5.968
NG010021,Ukwuani,Ukwuani,ukwuani-ng010021,NG010021,10,5.849,6.252
NG010022,Uvwie,Uvwie,uvwie-ng010022,NG010022,10,5.568,5.78
NG010023,Warri North,Warri North,warri-north-ng010023,NG010023,10,5.931,5.137
NG010024,Warri South,Warri South,warri-south-ng010024,NG010024,12,5.667,5.603
NG010025,Warri South West,Warri South West,warri-south-west-ng010025,NG010025,10,5.606,5.332
