id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG011001,Abakaliki,Abakaliki,abakaliki-ng011001,NG011001,14,6.257,8.244
NG011002,Afikpo North,Afikpo North,afikpo-north-ng011002,NG011002,12,5.858,7.923
NG011003,Afikpo South,Afikpo South,afikpo-south-ng011003,NG011003,11,5.827,7.784
NG011004,Ebonyi,Ebonyi,ebonyi-ng011004,NG011004,13,6.558,8.112
NG011005,Ezza North,Ezza North,ezza-north-ng011005,NG011005,11,6.264,7.979
NG011006,Ezza South,Ezza South,ezza-south-ng011006,NG011006,11,6.126,7.998
NG011007,Ikwo,Ikwo,ikwo-ng011007,NG011007,20,6.081,8.179
NG011008,Ishielu,Ishielu,ishielu-ng011008,NG011008,16,6.41,7.844
NG011009,Ivo,Ivo,ivo-ng011009,NG011009,11,5.914,7.641
NG011010,Izzi,Izzi,izzi-ng011010,NG011010,14,6.525,8.275
NG011011,Ohaozara,Ohaozara,ohaozara-ng011011,NG011011,11,6.002,7.788
NG011012,Ohaukwu,Ohaukwu,ohaukwu-ng011012,NG011012,15,6.539,8.008
NG011013,Onicha,Onicha,onicha-ng011013,NG011013,12,6.119,7.817
