id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG031001,Afijio,Afijio,afijio-ng031001,NG031001,10,7.749,3.857
NG031002,Akinyele,Akinyele,akinyele-ng031002,NG031002,12,7.569,3.89
NG031003,Atiba,Atiba,atiba-ng031003,NG031003,10,8.227,3.867
NG031004,Atigbo,Atigbo,atigbo-ng031004,NG031004,10,8.406,3.247
NG031005,Egbeda,Egbeda,egbeda-ng031005,NG031005,11,7.411,4.044
NG031006,Ibadan North,Ibadan North,ibadan-north-ng031006,NG031006,12,7.418,3.906
NG031007,Ibadan North East,Ibadan North East,ibadan-north-east-ng031007,NG031007,12,7.397,3.931
NG031008,Ibadan North West,Ibadan North West,ibadan-north-west-ng031008,NG031008,11,7.403,3.873
NG031009,Ibadan South East,Ibadan South East,ibadan-south-east-ng031009,NG031009,12,7.357,3.905
NG031010,Ibadan South West,Ibadan South West,ibadan-south-west-ng031010,NG031010,12,7.374,3.856
NG031011,Ibarapa Central,Ibarapa Central,ibarapa-central-ng031011,NG031011,10,7.455,3.234
NG031012,Ibarapa East,Ibarapa East,ibarapa-east-ng031012,NG031012,10,7.588,3.461
NG031013,Ibarapa North,Ibarapa North,ibarapa-north-ng031013,NG031013,10,7.675,3.156
NG031014,Ido,Ido,ido-ng031014,NG031014,10,7.514,3.706
NG031015,Irepo,Irepo,irepo-ng031015,NG031015,10,9.025,3.885
NG031016,Iseyin,Iseyin,iseyin-ng031016,NG031016,11,8.004,3.598
NG031017,Itesiwaju,Itesiwaju,itesiwaju-ng031017,NG031017,10,8.208,3.485
NG031018,Iwajowa,Iwajowa,iwajowa-ng031018,NG031018,10,7.986,2.987
NG031019,Kajola,Kajola,kajola-ng031019,NG031019,11,8.029,3.359
NG031020,Lagelu,Lagelu,lagelu-ng031020,NG031020,14,7.513,4.074
NG031021,Ogbomosho North,Ogbomosho North,ogbomosho-north-ng031021,NG031021,10,8.15,4.249
NG031022,Ogbomosho South,Ogbomosho South,ogbomosho-south-ng031022,NG031022,10,8.108,4.2
NG031023,Ogo Oluwa,Ogo Oluwa,ogo-oluwa-ng031023,NG031023,10,7.975,4.194
NG031024,Olorunsogo,Olorunsogo,olorunsogo-ng031024,NG031024,10,8.796,4.056
NG031025,Oluyole,Oluyole,oluyole-ng031025,NG031025,10,7.217,3.88
NG031026,Ona-Ara,Ona-Ara,ona-ara-ng031026,NG031026,11,7.253,4.054
NG031027,Orelope,Orelope,orelope-ng031027,NG031027,10,8.794,3.802
NG031028,Ori Ire,Ori Ire,ori-ire-ng031028,NG031028,10,8.312,4.189
NG031029,Oyo East,Oyo East,oyo-east-ng031029,NG031029,10,7.828,4.033
NG031030,Oyo West,Oyo West,oyo-west-ng031030,NG031030,10,7.878,3.825
NG031031,Saki East,Saki East,saki-east-ng031031,NG031031,11,8.707,3.637
NG031032,Saki West,Saki West,saki-west-ng031032,NG031032,11,8.645,3.216
NG031033,Surulere,Surulere,surulere-ng031033,NG031033,22,8.088,4.398
