id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG007001,Ado,Ado,ado-ng007001,NG007001,10,6.78,8.061
NG007002,Agatu,Agatu,agatu-ng007002,NG007002,10,7.876,7.895
NG007003,Apa,Apa,apa-ng007003,NG007003,11,7.632,7.905
NG007004,Buruku,Buruku,buruku-ng007004,NG007004,13,7.386,9.272
NG007005,Gboko,Gboko,gboko-ng007005,NG007005,17,7.405,8.881
NG007006,Guma,Guma,guma-ng007006,NG007006,10,7.868,8.829
NG007007,Gwer East,Gwer East,gwer-east-ng007007,NG007007,14,7.376,8.383
NG007008,Gwer West,Gwer West,gwer-west-ng007008,NG007008,15,7.613,8.265
NG007009,Katsina-Ala,Katsina-Ala,katsina-ala-ng007009,NG007009,12,7.359,9.59
NG007010,Konshisha,Konshisha,konshisha-ng007010,NG007010,11,7.109,8.621
NG007011,Kwande,Kwande,kwande-ng007011,NG007011,15,6.778,9.413
NG007012,Logo,Logo,logo-ng007012,NG007012,10,7.671,9.24
NG007013,Makurdi,Makurdi,makurdi-ng007013,NG007013,11,7.735,8.518
NG007014,Obi,Obi,obi-ng007014,NG007014,0,7.021,8.272
NG007015,Ogbadibo,Ogbadibo,ogbadibo-ng007015,NG007015,13,7.021,7.639
NG007016,Ohimini,Ohimini,ohimini-ng007016,NG007016,10,7.26,7.958
NG007017,Oju,Oju,oju-ng007017,NG007017,11,6.87,8.364
NG007018,Okpokwu,Okpokwu,okpokwu-ng007018,NG007018,12,7.044,7.893
NG007019,Oturkpo,Oturkpo,oturkpo-ng007019,NG007019,13,7.32,8.087
NG007020,Tarka,Tarka,tarka-ng007020,NG007020,10,7.605,8.859
NG007021,Ukum,Ukum,ukum-ng007021,NG007021,13,7.65,9.677
NG007022,Ushongo,Ushongo,ushongo-ng007022,NG007022,11,7.082,9.007
NG007023,Vandeikya,Vandeikya,vandeikya-ng007023,NG007023,12,6.844,9.079
