id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG001001,Aba North,Aba North,aba-north-ng001001,NG001001,12,5.108,7.342
NG001002,Aba South,Aba South,aba-south-ng001002,NG001002,12,5.084,7.349
NG001003,Arochukwu,Arochukwu,arochukwu-ng001003,NG001003,11,5.519,7.869
NG001004,Bende,Bende,bende-ng001004,NG001004,13,5.637,7.569
NG001005,Ikwuano,Ikwuano,ikwuano-ng001005,NG001005,10,5.409,7.573
NG001006,Isiala-Ngwa North,Isiala-Ngwa North,isiala-ngwa-north-ng001006,NG001006,10,5.28,7.392
NG001007,Isiala-Ngwa South,Isiala-Ngwa South,isiala-ngwa-south-ng001007,NG001007,10,5.38,7.415
NG001008,Isiukwuato,Isiukwuato,isiukwuato-ng001008,NG001008,10,5.8,7.471
NG001009,Obi Ngwa,Obi Ngwa,obi-ngwa-ng001009,NG001009,11,5.152,7.448
NG001010,Ohafia,Ohafia,ohafia-ng001010,NG001010,11,5.663,7.832
NG001011,Osisioma Ngwa,Osisioma Ngwa,osisioma-ngwa-ng001011,NG001011,10,5.173,7.324
NG001012,Ugwunagbo,Ugwunagbo,ugwunagbo-ng001012,NG001012,10,5.025,7.355
NG001013,Ukwa East,Ukwa East,ukwa-east-ng001013,NG001013,10,4.937,7.403
NG001014,Ukwa West,Ukwa West,ukwa-west-ng001014,NG001014,10,4.979,7.251
NG001017,Umu-Nneochi,Umu-Nneochi,umu-nneochi-ng001017,NG001017,12,5.972,7.405
NG001015,Umuahia North,Umuahia North,umuahia-north-ng001015,NG001015,12,5.605,7.477
NG001016,Umuahia South,Umuahia South,umuahia-south-ng001016,NG001016,10,5.499,7.436
