id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG020001,Ajingi,Ajingi,ajingi-ng020001,NG020001,10,11.992,9.075
NG020002,Albasu,Albasu,albasu-ng020002,NG020002,10,11.627,9.029
NG020003,Bagwai,Bagwai,bagwai-ng020003,NG020003,10,12.098,8.125
NG020004,Bebeji,Bebeji,bebeji-ng020004,NG020004,14,11.526,8.328
NG020005,Bichi,Bichi,bichi-ng020005,NG020005,11,12.288,8.301
NG020006,Bunkure,Bunkure,bunkure-ng020006,NG020006,10,11.672,8.553
NG020007,Dala,Dala,dala-ng020007,NG020007,12,12.027,8.494
NG020008,Dambatta,Dambatta,dambatta-ng020008,NG020008,10,12.425,8.642
NG020009,Dawakin Kudu,Dawakin Kudu,dawakin-kudu-ng020009,NG020009,15,11.795,8.708
NG020010,Dawakin Tofa,Dawakin Tofa,dawakin-tofa-ng020010,NG020010,11,12.147,8.382
NG020011,Doguwa,Doguwa,doguwa-ng020011,NG020011,10,10.89,8.67
NG020012,Fagge,Fagge,fagge-ng020012,NG020012,10,12.027,8.524
NG020013,Gabasawa,Gabasawa,gabasawa-ng020013,NG020013,11,12.137,8.866
NG020014,Garko,Garko,garko-ng020014,NG020014,10,11.551,8.842
NG020015,Garum Mallam,Garum Mallam,garum-mallam-ng020015,NG020015,10,11.66,8.393
NG020016,Gaya,Gaya,gaya-ng020016,NG020016,10,11.793,9.018
NG020017,Gezawa,Gezawa,gezawa-ng020017,NG020017,11,12.057,8.741
NG020018,Gwale,Gwale,gwale-ng020018,NG020018,10,11.978,8.484
NG020019,Gwarzo,Gwarzo,gwarzo-ng020019,NG020019,10,11.903,7.984
NG020020,Kabo,Kabo,kabo-ng020020,NG020020,10,11.898,8.197
NG020021,Kano Municipal,Kano Municipal,kano-municipal-ng020021,NG020021,13,11.98,8.516
NG020022,Karaye,Karaye,karaye-ng020022,NG020022,10,11.75,7.986
NG020023,Kibiya,Kibiya,kibiya-ng020023,NG020023,10,11.493,8.683
NG020024,Kiru,Kiru,kiru-ng020024,NG020024,15,11.553,8.114
NG020025,Kumbotso,Kumbotso,kumbotso-ng020025,NG020025,11,11.921,8.52
NG020026,Kunchi,Kunchi,kunchi-ng020026,NG020026,10,12.468,8.267
NG020027,Kura,Kura,kura-ng020027,NG020027,10,11.775,8.478
NG020028,Madobi,Madobi,madobi-ng020028,NG020028,12,11.813,8.37
NG020029,Makoda,Makoda,makoda-ng020029,NG020029,11,12.422,8.442
NG020030,Minjibir,Minjibir,minjibir-ng020030,NG020030,11,12.193,8.621
NG020031,Nasarawa,Nasarawa,nasarawa-ng020031,NG020031,0,12.004,8.585
NG020032,Rano,Rano,rano-ng020032,NG020032,10,11.484,8.51
NG020033,Rimin Gado,Rimin Gado,rimin-gado-ng020033,NG020033,12,11.927,8.324
NG020034,Rogo,Rogo,rogo-ng020034,NG020034,10,11.509,7.863
NG020035,Shanono,Shanono,shanono-ng020035,NG020035,10,12.087,7.929
NG020036,Sumaila,Sumaila,sumaila-ng020036,NG020036,11,11.325,8.961
NG020037,Takai,Takai,takai-ng020037,NG020037,10,11.487,9.139
NG020038,Tarauni,Tarauni,tarauni-ng020038,NG020038,10,11.964,8.556
NG020039,Tofa,Tofa,tofa-ng020039,NG020039,15,12.015,8.341
NG020040,Tsanyawa,Tsanyawa,tsanyawa-ng020040,NG020040,10,12.278,8.002
NG020041,Tudun Wada,Tudun Wada,tudun-wada-ng020041,NG020041,11,11.209,8.512
NG020042,Ungogo,Ungogo,ungogo-ng020042,NG020042,11,12.042,8.606
NG020043,Warawa,Warawa,warawa-ng020043,NG020043,15,11.899,8.765
NG020044,Wudil,Wudil,wudil-ng020044,NG020044,10,11.759,8.851
