id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG012001,Akoko-Edo,Akoko-Edo,akoko-edo-ng012001,NG012001,10,7.352,6.125
NG012002,Egor,Egor,egor-ng012002,NG012002,10,6.357,5.587
NG012003,Esan Central,Esan Central,esan-central-ng012003,NG012003,10,6.705,6.208
NG012004,Esan North East,Esan North East,esan-north-east-ng012004,NG012004,11,6.78,6.422
NG012005,Esan South East,Esan South East,esan-south-east-ng012005,NG012005,10,6.577,6.486
NG012006,Esan West,Esan West,esan-west-ng012006,NG012006,10,6.655,6.14
NG012007,Etsako Central,Etsako Central,etsako-central-ng012007,NG012007,10,6.976,6.516
NG012008,Etsako East,Etsako East,etsako-east-ng012008,NG012008,10,7.188,6.516
NG012009,Etsako West,Etsako West,etsako-west-ng012009,NG012009,12,7.001,6.302
NG012010,Igueben,Igueben,igueben-ng012010,NG012010,10,6.509,6.247
NG012011,Ikpoba-Okha,Ikpoba-Okha,ikpoba-okha-ng012011,NG012011,10,6.2,5.662
NG012012,Oredo,Oredo,oredo-ng012012,NG012012,12,6.233,5.564
NG012013,Orhionmwon,Orhionmwon,orhionmwon-ng012013,NG012013,12,6.088,5.948
NG012014,Ovia North East,Ovia North East,ovia-north-east-ng012014,NG012014,13,6.397,5.503
NG012015,Ovia South West,Ovia South West,ovia-south-west-ng012015,NG012015,10,6.471,5.299
NG012016,Owan East,Owan East,owan-east-ng012016,NG012016,11,7.029,6.106
NG012017,Owan West,Owan West,owan-west-ng012017,NG012017,11,6.934,5.887
NG012018,Uhunmwonde,Uhunmwonde,uhunmwonde-ng012018,NG012018,10,6.526,5.9
