id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG026001,Akwanga,Akwanga,akwanga-ng026001,NG026001,11,9.028,8.344
NG026002,Awe,Awe,awe-ng026002,NG026002,10,8.213,9.165
NG026003,Doma,Doma,doma-ng026003,NG026003,10,8.156,8.315
NG026004,Karu,Karu,karu-ng026004,NG026004,11,9.037,7.761
NG026005,Keana,Keana,keana-ng026005,NG026005,10,8.205,8.717
NG026006,Keffi,Keffi,keffi-ng026006,NG026006,10,8.857,7.868
NG026007,Kokona,Kokona,kokona-ng026007,NG026007,11,8.756,8.087
NG026008,Lafia,Lafia,lafia-ng026008,NG026008,13,8.716,8.8
NG026009,Nasarawa,Nasarawa,nasarawa-ng026009,NG026009,26,8.322,7.747
NG026010,Nasarawa-Eggon,Nasarawa-Eggon,nasarawa-eggon-ng026010,NG026010,14,8.746,8.474
NG026011,Obi,Obi,obi-ng026011,NG026011,22,8.37,8.736
NG026012,Toto,Toto,toto-ng026012,NG026012,12,8.262,7.197
NG026013,Wamba,Wamba,wamba-ng026013,NG026013,10,9.012,8.735
