id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG005001,Alkaleri,Alkaleri,alkaleri-ng005001,NG005001,11,9.896,10.445
NG005002,Bauchi,Bauchi,bauchi-ng005002,NG005002,12,10.245,9.956
NG005003,Bogoro,Bogoro,bogoro-ng005003,NG005003,10,9.625,9.628
NG005004,Damban,Damban,damban-ng005004,NG005004,10,11.629,10.762
NG005005,Darazo,Darazo,darazo-ng005005,NG005005,11,11.108,10.51
NG005006,Dass,Dass,dass-ng005006,NG005006,10,10.009,9.475
NG005007,Gamawa,Gamawa,gamawa-ng005007,NG005007,11,12.029,10.608
NG005008,Ganjuwa,Ganjuwa,ganjuwa-ng005008,NG005008,11,10.747,10.043
NG005009,Giade,Giade,giade-ng005009,NG005009,10,11.408,10.242
NG005010,Itas/Gadau,Itas/Gadau,itasgadau-ng005010,NG005010,10,11.879,10.11
NG005011,Jama'are,Jama'are,jamaare-ng005011,NG005011,10,11.667,9.944
NG005012,Katagum,Katagum,katagum-ng005012,NG005012,11,11.66,10.345
NG005013,Kirfi,Kirfi,kirfi-ng005013,NG005013,10,10.442,10.525
NG005014,Misau,Misau,misau-ng005014,NG005014,10,11.389,10.463
NG005015,Ningi,Ningi,ningi-ng005015,NG005015,11,11.063,9.207
NG005016,Shira,Shira,shira-ng005016,NG005016,11,11.462,10.043
NG005017,Tafawa-Balewa,Tafawa-Balewa,tafawa-balewa-ng005017,NG005017,11,9.858,9.61
NG005018,Toro,Toro,toro-ng005018,NG005018,11,10.368,9.252
NG005019,Warji,Warji,warji-ng005019,NG005019,10,11.164,9.744
NG005020,Zaki,Zaki,zaki-ng005020,NG005020,11,12.212,10.241
