id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG002001,Demsa,Demsa,demsa-ng002001,NG002001,10,9.421,12.062
NG002002,Fufore,Fufore,fufore-ng002002,NG002002,11,9.247,12.755
NG002003,Ganye,Ganye,ganye-ng002003,NG002003,10,8.438,11.955
NG002005,Girei,Girei,girei-ng002005,NG002005,10,9.42,12.46
NG002004,Gombi,Gombi,gombi-ng002004,NG002004,10,10.219,12.514
NG002006,Guyuk,Guyuk,guyuk-ng002006,NG002006,10,9.849,11.919
NG002007,Hong,Hong,hong-ng002007,NG002007,12,10.271,13
NG002008,Jada,Jada,jada-ng002008,NG002008,11,8.7,12.327
NG002009,Lamurde,Lamurde,lamurde-ng002009,NG002009,10,9.554,11.701
NG002010,Madagali,Madagali,madagali-ng002010,NG002010,10,10.799,13.482
NG002011,Maiha,Maiha,maiha-ng002011,NG002011,10,9.874,13.141
NG002012,Mayo-Belwa,Mayo-Belwa,mayo-belwa-ng002012,NG002012,12,8.908,12.044
NG002013,Michika,Michika,michika-ng002013,NG002013,16,10.579,13.384
NG002014,Mubi North,Mubi North,mubi-north-ng002014,NG002014,11,10.359,13.366
NG002015,Mubi South,Mubi South,mubi-south-ng002015,NG002015,10,10.171,13.312
NG002016,Numan,Numan,numan-ng002016,NG002016,10,9.451,11.841
NG002017,Shelleng,Shelleng,shelleng-ng002017,NG002017,10,9.903,12.106
NG002018,Song,Song,song-ng002018,NG002018,11,9.841,12.621
NG002019,Toungo,Toungo,toungo-ng002019,NG002019,10,7.902,11.874
NG002020,Yola North,Yola North,yola-north-ng002020,NG002020,11,9.258,12.44
NG002021,Yola South,Yola South,yola-south-ng002021,NG002021,11,9.272,12.261
