id,name.local,name.en,name.slug,code.id,children_count.ward,geo.lat,geo.lon
NG029001,Akoko North East,Akoko North East,akoko-north-east-ng029001,NG029001,13,7.563,5.932
NG029002,Akoko North West,Akoko North West,akoko-north-west-ng029002,NG029002,10,7.634,5.805
NG029003,Akoko South East,Akoko South East,akoko-south-east-ng029003,NG029003,11,7.422,5.905
NG029004,Akoko South West,Akoko South West,akoko-south-west-ng029004,NG029004,15,7.403,5.706
NG029005,Akure North,Akure North,akure-north-ng029005,NG029005,12,7.256,5.322
NG029006,Akure South,Akure South,akure-south-ng029006,NG029006,11,7.212,5.179
NG029007,Ese-Odo,Ese-Odo,ese-odo-ng029007,NG029007,10,6.184,4.991
NG029008,Idanre,Idanre,idanre-ng029008,NG029008,10,6.976,5.256
NG029009,Ifedore,Ifedore,ifedore-ng029009,NG029009,10,7.355,5.105
NG029010,Ilaje,Ilaje,ilaje-ng029010,NG029010,12,6.199,4.753
NG029011,Ile-Oluji-Okeigbo,Ile-Oluji-Okeigbo,ile-oluji-okeigbo-ng029011,NG029011,10,7.234,4.884
NG029012,Irele,Irele,irele-ng029012,NG029012,10,6.479,4.983
NG029013,Odigbo,Odigbo,odigbo-ng029013,NG029013,11,6.732,4.885
NG029014,Okitipupa,Okitipupa,okitipupa-ng029014,NG029014,13,6.565,4.708
NG029015,Ondo East,Ondo East,ondo-east-ng029015,NG029015,10,7.159,4.885
NG029016,Ondo West,Ondo West,ondo-west-ng029016,NG029016,12,6.992,4.759
NG029017,Ose,Ose,ose-ng029017,NG029017,12,7.054,5.754
NG029018,Owo,Owo,owo-ng029018,NG029018,11,7.108,5.592
